track_id;artist_name;album_title;track_title;track_date_created
000002;AWOL;AWOL - A Way Of Life;Food;11/26/2008
000005;AWOL;AWOL - A Way Of Life;This World;11/26/2008
000010;Kurt Vile;Constant Hitmaker;Freeway;11/25/2008
000140;Alec K. Redfearn & the Eyesores;The Blind Spot;Queen Of The Wires;11/26/2008
000141;Alec K. Redfearn & the Eyesores;Every Man For Himself;Ohio;11/26/2008
000148;Contradiction;Contradiction;Blackout 2;11/26/2008
000182;Ariel Pink's Haunted Graffiti;Worn Copy;Jules Lost His Jewels;11/26/2008
000190;Ed Askew;Blue Piano;Castle Of Stars;11/26/2008
000193;Ed Askew;Blue Piano;Here With You;11/26/2008
000194;Ed Askew;Blue Piano;All I want to Do;11/26/2008
000197;Ed Askew;Blue Piano;Piano 2;11/26/2008
000200;Ed Askew;Blue Piano;Baby Come Home;11/26/2008
000203;Ed Askew;Blue Piano;Song For R;11/26/2008
000204;Ed Askew;Blue Piano;My Dream;11/26/2008
000207;Ed Askew;Blue Piano;Piano 3;11/26/2008
000210;Ed Askew;Blue Piano;In the French Court;11/26/2008
000211;Ed Askew;Blue Piano;In America;11/26/2008
000212;Ed Askew;Blue Piano;When I Arive;11/26/2008
000213;Au;Au;Boute;11/26/2008
000255;Bird Names;On Opaque Things;We Want to be Old;11/26/2008
000256;Black Elk;Black Elk;Toggle;11/26/2008
000368;Blah Blah Blah;30th Anniversary Blah Blah Blah;Vampires;11/26/2008
000424;Brian Joseph Davis;The Definitive Host;The Ambient Honky;11/26/2008
000459;CAVE;Butthash;Machines and Muscles;11/25/2008
000534;Charles Manson;One Mind;I Can See You;11/26/2008
000540;Charles Manson;One Mind;The Black Pirate;11/26/2008
000546;Charles Manson;One Mind;If You Have No One;11/26/2008
000574;Clockcleaner;Babylon Rules;Caliente Queen;11/26/2008
000602;Dora Bleu;Clones of Eros;Disappearing;11/26/2008
000615;EKG;Immaterial;Immaterial, side A;11/26/2008
000620;Ed Askew;Viridian City;Arabesque;11/26/2008
000621;Ed Askew;Rainy Day Song;Blue Eyed Baby;11/26/2008
000625;Ed Askew;Rainy Day Song;Climbing To The Top;11/26/2008
000666;Explode Into Colors;summer 2008 demos;Heat;11/26/2008
000667;Explode Into Colors;summer 2008 demos;Sharpen The Knife;11/26/2008
000676;Fanatic;Change Thoughts (radio edit);The Tension;11/26/2008
000690;Flying Luttenbachers;Cataclysm;Cataclysm;11/26/2008
000694;Food For Animals;mp3 single with Faust;;11/25/2008
000695;Food For Animals;Cock Rock Disco 2006 Free Compilation;Elephants;11/26/2008
000704;Fosforo;Macondo;Mano De Dios;11/26/2008
000705;Fosforo;Macondo;Tio Cocodrilo;11/26/2008
000706;Fosforo;Macondo;Esto Es Califas;11/26/2008
000707;Fosforo;Macondo;Cochabamba;11/26/2008
000708;Fosforo;Macondo;Desconocido;11/26/2008
000709;Fosforo;Macondo;Cumbia De Obama;11/26/2008
000714;Fursaxa;The Cult From Moon Mountain;Circle Moon;11/26/2008
000715;Fursaxa;Kobold Moon;Kokopelli;11/26/2008
000716;Fursaxa;Kobold Moon;Saxalainen;11/26/2008
000718;Fursaxa;Kobold Moon;Song Of The Spindle Berry;11/26/2008
000777;Glove Compartment;Quickies;Relaxing;11/26/2008
000814;Hall Of Fame;Hall of Fame (2000);Motion Passings;11/26/2008
000821;Hecuba;"Sir 12"" EP";Sir;11/26/2008
000822;Hecuba;"Sir 12"" EP";Tom & Jerry;11/26/2008
000825;Here Comes A Big Black Cloud!!;Pompeii;Death March;11/26/2008
000853;Hutzl Ukranian Ensemble;Black Mirror: Reflections In Global Musics (1915-1955);;11/26/2008
000890;Ilyas Ahmed;Century of Moonlight;Softly Tomorrow;11/26/2008
000892;Ilyas Ahmed;The Vertigo of Dawn;Phantom Sky;11/26/2008
000897;Infinite Body;White Hymn;2;11/26/2008
000993;Jad Fair and Jason Willett;The Sounds of Megaphone Unlimited;Or So I've Been Told;11/26/2008
000995;Kevin Shields;The Death of Patience;No Good Deed Goes Unpunished;11/26/2008
000997;Kevin Shields;The Death of Patience;Nothing's Ever Ending;11/26/2008
000998;Kevin Shields;The Death of Patience;Apparently;11/26/2008
